publication_id	pmid	compound_id	compound  chebi_id
77	19587090	315	Energy	
77	19587090	88	Lutein	28838
77	19587090	85	Zeaxanthin	27547
78	19027407	877	Folate (Dietary Folate Equivalents)	
78	19027407	115	Vitamin B12	
78	19027407	315	Energy	
78	19027407	489	Folates	
79	19022967	286	Fatty acids, n3-polyunsaturated (n3-PUFA)	
79	19022967	451	Fatty acids	
79	19022967	184	DHA (cis-22:6n-3)	28125
79	19022967	183	EPA (cis-20:5n-3)	28364
80	19433614	183	EPA (cis-20:5n-3)	28364
80	19433614	184	DHA (cis-22:6n-3)	28125
80	19433614	286	Fatty acids, n3-polyunsaturated (n3-PUFA)	
80	19433614	215	DPA (cis-22:5n-3)	53488
80	19433614	451	Fatty acids	
81	18855107	291	Acrylamide	28619
81	18855107	671	Acrylamide-hemoglobin adduct	
81	18855107	292	Glycidamide-hemoglobin adduct	
81	18855107	293	Acrylamide-Hb metabolites	
81	18855107	315	Energy	
82	18469267	268	Proteins from Soy foods	
82	18469267	4	Daidzein	28197
82	18469267	3	Genistein	28088
82	18469267	5	Isoflavones	
82	18469267	10	Equol	34741
83	17565356	155	Thiamin	18385
83	17565356	650	Thiamin from Foods	
84	17616765	300	Lauric acid (12:0)	30805
84	17616765	262	Myristic acid (14:0)	28875
84	17616765	242	Palmitic acid (16:0)	15756
84	17616765	243	Stearic acid (18:0)	28842
84	17616765	177	Fatty acids, saturated (SFA)	
84	17616765	301	Palmitoleic acid (cis-16:1n-7)	28716
84	17616765	311	Oleic acid (cis-18:1n-9)	16196
84	17616765	303	8-Eicosenoic acid (cis-20:1n-12)	
84	17616765	178	Fatty acids, monounsaturated (MUFA)	
84	17616765	182	alpha-Linolenic acid (ALA; cis-18:3n-3)	27432
84	17616765	183	EPA (cis-20:5n-3)	28364
84	17616765	215	DPA (cis-22:5n-3)	53488
84	17616765	184	DHA (cis-22:6n-3)	28125
84	17616765	286	Fatty acids, n3-polyunsaturated (n3-PUFA)	
84	17616765	217	Linoleic acid (LA; cis-18:2n-6)	17351
84	17616765	224	Arachidonic acid (AA; cis-20:4n-6)	15843
84	17616765	410	Fatty acids, n6-polyunsaturated (n6-PUFA)	
84	17616765	179	Fatty acids, polyunsaturated (PUFA)	
84	17616765	302	Palmitelaidic acid (trans-16:1n-7)	59265
84	17616765	306	trans-Octadecenoic acids (trans-18:1)	
84	17616765	304	Linoelaidic acid (trans-18:2n-6)	75108
84	17616765	305	cis-9-Linoelaidic acid (9cis-18:2n-6)	86141
84	17616765	307	trans-Octadecadienoic acids (trans-18:2)	
84	17616765	308	Fatty acids, trans	
